,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,93.87025838372732,92.95051353874884,92.74876305662451,100.0,100.0,99.99345927855843,91.88142783915542
d2,oscore_base,cbor-dns_message,100.0,93.70389884088515,93.59758775139787,92.89143927860405,100.0,100.0,99.97363880368098,90.56158225951454
d2,oscore_base,cbor-dns_cbor,100.0,96.44284696185666,96.39513979294526,96.32933742217266,100.0,100.0,100.0,85.12321182615337
d2,oscore_base,json-dns_cbor,100.0,96.66637653407606,96.67623770991038,96.03859974498667,100.0,100.0,100.0,86.49430216885186
d2,oscore,json-dns_message,100.0,93.81191515051728,93.22215212442056,77.82656421514818,100.0,100.0,99.99890997482042,88.50540870627236
d2,oscore,cbor-dns_message,100.0,94.20069568267516,93.26925885892904,78.13212510961706,100.0,100.0,99.99520722750093,87.30598204547361
d2,oscore,cbor-dns_cbor,100.0,96.48144706684012,96.2113473860154,79.31237416757007,100.0,100.0,99.99318513268547,80.6356608172782
d2,oscore,json-dns_cbor,100.0,96.40156453715775,96.4207112243716,80.31404815018686,100.0,100.0,99.9987752602572,82.42782924079792
d2,coaps,json-dns_message,100.0,92.41531664212077,91.5720294426919,77.30615675562092,100.0,99.89191526156506,99.89326920478803,89.67692266133606
d2,coaps,cbor-dns_message,100.0,92.2108729627149,92.40708113096736,78.08621268030862,100.0,99.88457952914366,99.89494244029476,86.94256206906756
d2,coaps,cbor-dns_cbor,100.0,96.27485678293992,95.61993601817801,78.56415173488345,100.0,99.99331014182499,99.99163711781628,73.98103393487314
d2,coaps,json-dns_cbor,100.0,95.76190476190476,95.66388818725268,78.73342491099213,100.0,100.0,99.992452374483,88.81323691480848
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,,,,
p2,coap,cbor-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
p2,coap,json-dns_cbor,99.99504066653442,,,,100.0,,,
p2,oscore_base,json-dns_message,96.39438575608789,93.47569186797483,93.32582293784691,93.47569186797483,93.65644731613264,94.25334481297747,93.78996556812592,94.25334481297747
p2,oscore_base,cbor-dns_message,97.94177453751922,93.50398313027179,93.01284489569008,93.50398313027179,93.08393838854963,93.62557541699049,93.06449926043238,93.62557541699049
p2,oscore_base,cbor-dns_cbor,94.33616029360711,96.7011141110387,96.32717579965286,96.7011141110387,81.81718363985726,82.7422408546893,82.51208219270674,82.7422408546893
p2,oscore_base,json-dns_cbor,95.36775281456133,96.38508812615956,95.83212483322698,96.38508812615956,82.94433277405851,84.27005793069715,83.97536787738949,84.27005793069715
p2,oscore,json-dns_message,80.50530869052301,77.25593802903606,77.25593802903606,77.25593802903606,86.53013875875608,87.73461718648764,87.73461718648764,87.73461718648764
p2,oscore,cbor-dns_message,80.37470495672699,76.58787367733862,76.58787367733862,76.58787367733862,84.86934963241161,86.15923819600582,86.15923819600582,86.15923819600582
p2,oscore,cbor-dns_cbor,78.03402832415422,80.0392248697383,80.0392248697383,80.0392248697383,,82.00550813815006,82.00550813815006,82.00550813815006
p2,oscore,json-dns_cbor,77.2168698387731,80.30507077092209,80.30507077092209,80.30507077092209,,83.17553934502561,83.17553934502561,83.17553934502561
p2,coaps,json-dns_message,79.2193621980856,78.9279112754159,78.9279112754159,78.9279112754159,86.59778641233957,84.344267793654,84.344267793654,84.344267793654
p2,coaps,cbor-dns_message,79.97421146597897,85.57380681975569,85.57380681975569,85.57380681975569,85.50592232854098,83.32109606743224,83.32109606743224,83.32109606743224
p2,coaps,cbor-dns_cbor,78.43078906908694,85.71428571428571,85.71428571428571,85.71428571428571,75.26535392723812,73.97497049975901,73.97497049975901,73.97497049975901
p2,coaps,json-dns_cbor,76.28446736758579,92.8950660180681,92.8950660180681,92.8950660180681,76.70315796468262,75.35807584902261,75.35807584902261,75.35807584902261
p2,https,json-dns_message,99.22138464590358,,,,,,,
p2,https,cbor-dns_message,98.51963896052371,,,,,,,
