,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,61.65260759805431,,,,98.66266180361868,,,
d2,coap,cbor-dns_message,64.88664657318832,,,,100.0,,,
d2,coap,cbor-dns_cbor,64.88918737407656,,,,100.0,,,
d2,coap,json-dns_cbor,58.34651666959629,,,,99.99429191163878,,,
d2,oscore_base,json-dns_message,89.45825848539283,50.78417145727522,50.46025104602511,51.14666070030205,100.0,93.21407190900447,34.10362857668357,33.35146971003915
d2,oscore_base,cbor-dns_message,90.91661303668292,51.13705865999444,50.452059381627414,54.44033935413246,100.0,58.75412614863057,37.53620087024752,41.16680779000847
d2,oscore_base,cbor-dns_cbor,64.49712541699199,54.622505409954314,54.08771929824562,53.957219251336895,100.0,30.425603593486805,31.727871939736346,31.47200875544241
d2,oscore_base,json-dns_cbor,79.41609421000982,53.48823494721944,53.70359509706175,53.40673651808442,100.0,30.96834763948498,29.390642237556513,29.232039636663913
d2,oscore,json-dns_message,79.96268354019632,51.043239917212055,50.83208103745756,50.87778150508778,100.0,48.87900685566055,33.64362065666093,33.0769332961354
d2,oscore,cbor-dns_message,76.83161953727506,51.14601967799642,51.11049107142858,51.32322001993135,99.90605578840874,70.79674448490042,54.31644271477031,37.55008667481315
d2,oscore,cbor-dns_cbor,79.52522255192879,53.91593051520721,53.62437738060357,54.374925798409116,98.82684715172024,30.90103663061321,31.777631702507275,31.598460339575414
d2,oscore,json-dns_cbor,81.7393566288043,53.61028684470821,52.968170853680064,53.3614676748139,100.0,29.37010888057162,29.70564115844447,29.32923396700299
d2,coaps,json-dns_message,67.81794029224638,53.06885768594027,55.96013497606529,54.287278450694586,,89.57344213649851,70.65714199231165,54.28808930055813
d2,coaps,cbor-dns_message,95.38387252535007,55.64153178049743,55.90066946909544,55.542644666511734,,99.9704004397649,55.76171403754283,54.20974129506764
d2,coaps,cbor-dns_cbor,90.81614187477379,54.51831438741531,53.054570415284296,52.50269871030056,100.0,100.0,39.83050847457627,38.63015502089985
d2,coaps,json-dns_cbor,66.51654871684896,52.84865629420084,53.11289507662943,53.89822729619643,,97.57176963838585,66.28826649297478,38.21761530912659
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,57.22111269614836,,,,,,,
p2,coap,cbor-dns_message,70.63902059302242,,,,,,,
p2,coap,cbor-dns_cbor,64.68699839486356,,,,77.00974954755094,,,
p2,coap,json-dns_cbor,60.57816240103112,,,,64.54941097021086,,,
p2,oscore_base,json-dns_message,75.9798149705635,50.04759505011479,50.986622073578594,50.04759505011479,,76.7582161189254,44.27321405250098,76.7582161189254
p2,oscore_base,cbor-dns_message,73.69865224759906,52.6203273882238,50.67692826245717,52.6203273882238,,56.42039736959117,51.69344088208048,56.42039736959117
p2,oscore_base,cbor-dns_cbor,78.85096497498213,53.44837845879202,54.23698384201078,53.44837845879202,58.09414918782526,41.58762171871553,40.7854119593928,41.58762171871553
p2,oscore_base,json-dns_cbor,79.77424979352115,54.12014885699096,53.59256628787878,54.12014885699096,61.03068378402986,73.9623717217788,37.45987681096556,73.9623717217788
p2,oscore,json-dns_message,57.41036345776032,48.38206222037249,48.38206222037249,48.38206222037249,93.58157765801079,37.336581792703704,37.336581792703704,37.336581792703704
p2,oscore,cbor-dns_message,56.81145972278606,59.84298003841978,59.84298003841978,59.84298003841978,93.88986397542783,41.161563199105146,41.161563199105146,41.161563199105146
p2,oscore,cbor-dns_cbor,64.61005454813504,50.72160405420293,50.72160405420293,50.72160405420293,,32.60647220063004,32.60647220063004,32.60647220063004
p2,oscore,json-dns_cbor,62.679097826832106,50.823632769602455,50.823632769602455,50.823632769602455,,29.747536263979622,29.747536263979622,29.747536263979622
p2,coaps,json-dns_message,57.884871205708066,57.19074221867518,57.19074221867518,57.19074221867518,,40.67937333044546,40.67937333044546,40.67937333044546
p2,coaps,cbor-dns_message,57.34430082256169,55.100910170162244,55.100910170162244,55.100910170162244,,53.26654363300817,53.26654363300817,53.26654363300817
p2,coaps,cbor-dns_cbor,62.1662642290445,54.493397218651396,54.493397218651396,54.493397218651396,39.28914505283381,38.104132617324304,38.104132617324304,38.104132617324304
