,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,99.17789223454834,,,,99.42704767395769,,,
d2,coap,cbor-dns_message,97.84606264203141,,,,99.91702741702741,,,
d2,coap,cbor-dns_cbor,95.69178964048727,,,,100.0,,,
d2,coap,json-dns_cbor,99.28215353938185,,,,100.0,,,
d2,oscore_base,json-dns_message,95.1145958986731,69.49515008019553,68.81990413147683,69.1156462585034,100.0,95.3083930436035,93.27703916636723,90.59514797592013
d2,oscore_base,cbor-dns_message,97.54389425922272,69.47424082187642,69.49569495694958,60.537127206329885,100.0,95.24205502729673,94.61665707710011,87.7739664199314
d2,oscore_base,cbor-dns_cbor,90.30110305078009,80.69443211082498,81.43876023597781,80.60536126398011,100.0,77.45126064833343,76.39723387371046,75.45490844789231
d2,oscore_base,json-dns_cbor,95.87323526508045,81.112502235736,81.5477780746282,81.0820526646895,100.0,78.24024397131079,77.21202477695061,76.52312418226292
d2,oscore,json-dns_message,97.54576942107867,69.52380952380952,69.06382335148216,69.09643128321945,100.0,95.26216957966199,88.97122614227877,89.54504585506204
d2,oscore,cbor-dns_message,95.16417910447761,69.3368700265252,69.23949198669489,70.02039428959891,100.0,95.194211454696,74.37974865867272,95.19812680115274
d2,oscore,cbor-dns_cbor,98.15878043951692,80.56343019135365,81.64703783012133,80.77601410934744,100.0,78.19951061287202,77.08428246013668,76.12356354534077
d2,oscore,json-dns_cbor,92.80370151604646,81.17346489296098,80.8459051724138,80.78800248469253,100.0,78.24485864823522,76.55302819642957,76.36281639325779
d2,coaps,json-dns_message,96.28747270200516,63.09228750546727,51.621543361806864,57.28625072212594,,96.36472466081405,93.16331417624522,90.81085376027968
d2,coaps,cbor-dns_message,96.67221297836939,51.41919007661437,51.57652804711629,51.780168989672845,,94.08253412392057,92.01337739379703,84.19875379453586
d2,coaps,cbor-dns_cbor,98.2190038164204,82.20933252532248,81.79733662580475,82.47947161727954,99.9826699786263,94.36765722183829,67.01546599206577,67.85569751980111
d2,coaps,json-dns_cbor,92.61471085896288,82.77359326539654,82.66491917868065,83.3555141513619,,95.95144018782568,82.2917869931847,72.15981470758541
d2,https,json-dns_message,99.93088126388547,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,99.96008382396965,,,,,,,
d2,https,json-dns_cbor,99.99007099240431,,,,,,,
p2,coap,json-dns_message,99.68190854870775,,,,,,,
p2,coap,cbor-dns_message,97.53761969904241,,,,,,,
p2,coap,cbor-dns_cbor,91.99086939261612,,,,76.65175199023767,,,
p2,coap,json-dns_cbor,98.07233704292527,,,,98.90204644745918,,,
p2,oscore_base,json-dns_message,88.81242626818718,68.50617000076646,69.6701957498667,68.50617000076646,,91.56295972327145,94.74945098822121,91.56295972327145
p2,oscore_base,cbor-dns_message,89.97930830623707,65.46850064594574,68.81006864988558,65.46850064594574,,95.78466428287643,91.15865806040321,95.78466428287643
p2,oscore_base,cbor-dns_cbor,87.36758736758736,80.91162958292045,80.61732787760185,80.91162958292045,84.86925469415965,76.03710532380732,73.47359972481799,76.03710532380732
p2,oscore_base,json-dns_cbor,87.55161647698661,81.30990415335462,80.77609277430865,81.30990415335462,77.6439244758485,75.18836211892894,75.06954102920723,75.18836211892894
p2,oscore,json-dns_message,93.16528843279865,66.44755644469849,66.44755644469849,66.44755644469849,27.547414725607556,84.48760449697319,84.48760449697319,84.48760449697319
p2,oscore,cbor-dns_message,96.77929262991503,51.1602998928954,51.1602998928954,51.1602998928954,31.01761252446184,84.35776201733648,84.35776201733648,84.35776201733648
p2,oscore,cbor-dns_cbor,86.1933326777461,80.89255907932882,80.89255907932882,80.89255907932882,,90.2962669234691,90.2962669234691,90.2962669234691
p2,oscore,json-dns_cbor,91.30217695226682,81.00822685104148,81.00822685104148,81.00822685104148,,91.3050866659114,91.3050866659114,91.3050866659114
p2,coaps,json-dns_message,95.77788894447224,51.63940332924983,51.63940332924983,51.63940332924983,,44.74488783005757,44.74488783005757,44.74488783005757
p2,coaps,cbor-dns_message,96.7869892899643,50.49684485384783,50.49684485384783,50.49684485384783,,79.74738504045786,79.74738504045786,79.74738504045786
p2,coaps,cbor-dns_cbor,89.27085397265702,82.15292459478506,82.15292459478506,82.15292459478506,55.215120032869635,65.78750359919377,65.78750359919377,65.78750359919377
