,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,94.61792193512919,86.61778436864942,82.18801539307312,100.0,100.0,95.21546226548789,88.14823701344734
d2,oscore_base,cbor-dns_message,100.0,93.78878351481092,89.47275974121023,79.88054807354492,100.0,100.0,94.31436924846625,87.07941264608931
d2,oscore_base,cbor-dns_cbor,100.0,95.99665354940663,91.14128076374682,90.39122758107982,100.0,100.0,90.32689004607542,84.60636310327429
d2,oscore_base,json-dns_cbor,100.0,96.08321002698233,90.56527161460599,90.02839921177697,100.0,100.0,99.17085119412124,86.95012866070334
d2,oscore,json-dns_message,100.0,94.3305617299196,88.09282168033575,79.4264544456641,100.0,100.0,98.43254379176159,90.19235802146035
d2,oscore,cbor-dns_message,100.0,94.49299932770163,87.16076071397272,79.34814381759719,100.0,100.0,97.25493955115687,89.13020028046456
d2,oscore,cbor-dns_cbor,100.0,95.74428544880134,87.88807379205745,82.26420938516338,100.0,100.0,99.30079461352888,84.71932479786204
d2,oscore,json-dns_cbor,100.0,96.2103433289874,89.24475848488359,82.84903091230407,100.0,100.0,98.77158603796693,86.20791060138215
d2,coaps,json-dns_message,100.0,94.23784977908689,92.2739221871714,79.69111157806262,100.0,99.89461738002593,99.89191818206382,93.06842432264513
d2,coaps,cbor-dns_message,100.0,94.12257200267918,92.95802220544229,79.56781840545678,100.0,99.88309977951731,99.87866591696014,90.47583819134141
d2,coaps,cbor-dns_cbor,100.0,97.0006898413365,96.29264209047149,81.60544136153892,100.0,99.9966550709125,99.99330969425303,80.77302604070847
d2,coaps,json-dns_cbor,100.0,96.70588235294117,96.50023855631332,82.68901909113846,100.0,100.0,99.9939618995864,91.00982804692099
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,,,,
p2,coap,cbor-dns_message,100.0,,,,99.99519169124247,,,
p2,coap,cbor-dns_cbor,100.0,,,,99.88836834785155,,,
p2,coap,json-dns_cbor,100.0,,,,99.98338760050501,,,
p2,oscore_base,json-dns_message,91.20170609532312,84.33781295517629,85.62675166236193,84.33781295517629,93.05594395301944,94.4925040657073,92.7816035415642,94.4925040657073
p2,oscore_base,cbor-dns_message,92.30273272826464,84.47457825679476,80.82628668402727,84.47457825679476,89.1602955554487,92.87379685538352,89.20380690561922,92.87379685538352
p2,oscore_base,cbor-dns_cbor,90.00644745325597,89.32129224466996,85.3582940738904,89.32129224466996,86.16158843444049,87.10528095205896,81.84460441380243,87.10528095205896
p2,oscore_base,json-dns_cbor,87.6506472251153,91.30913729128015,90.9507512036661,91.30913729128015,86.5807266142831,88.49334331962766,84.25805662943324,88.49334331962766
p2,oscore,json-dns_message,83.54797483287456,79.22844097881291,79.22844097881291,79.22844097881291,85.41136840226655,89.44509235170399,89.44509235170399,89.44509235170399
p2,oscore,cbor-dns_message,83.62018095987412,78.06218208524875,78.06218208524875,78.06218208524875,83.79297224983738,88.14530705814927,88.14530705814927,88.14530705814927
p2,oscore,cbor-dns_cbor,80.1042486231314,83.3499209648147,83.3499209648147,83.3499209648147,,85.2123858674077,85.2123858674077,85.2123858674077
p2,oscore,json-dns_cbor,79.91545418796697,84.24625532499657,84.24625532499657,84.24625532499657,,86.67435311855613,86.67435311855613,86.67435311855613
p2,coaps,json-dns_message,83.74249863611566,79.87815990211138,79.87815990211138,79.87815990211138,81.40380313199105,86.75119071577112,86.75119071577112,86.75119071577112
p2,coaps,cbor-dns_message,83.73834556635587,78.2803800448741,78.2803800448741,78.2803800448741,81.17516949560033,85.92469676055097,85.92469676055097,85.92469676055097
p2,coaps,cbor-dns_cbor,79.08545355353867,82.78449353897457,82.78449353897457,82.78449353897457,76.00102481516726,80.63122205787033,80.63122205787033,80.63122205787033
p2,coaps,json-dns_cbor,80.05852013489387,83.94996525364836,83.94996525364836,83.94996525364836,78.24808545276343,82.02864606792181,82.02864606792181,82.02864606792181
p2,https,json-dns_message,64.88791906367784,,,,,,,
